0,Chrome Web Store
1,Export History - Chrome Web Store
2,Clear your download history - Chrome Help
4,Download your past searches - Search Help
8,google chrome - Download webpage source HTML without visiting page - Super User
10,ChromeHistoryView - View the browsing history of Chrome Web browser
12,download chrome html pages visited - Google Search
